experiment,seed,value,accuracy,rate_accuracy,miss_rate,loss,loss_paper,input_log_likelihood,confusion_matrix_str
inhibition_rest_classic,5464,50,0.22,0.51,0.05,0.774579149543431,0.43817463290175573,-190.95774167538926,"[[0. 3. 2. 0. 0. 0. 2. 1. 2. 0. 0.]
 [0. 0. 1. 0. 0. 0. 1. 6. 1. 1. 0.]
 [0. 4. 1. 0. 0. 0. 2. 2. 1. 0. 0.]
 [0. 0. 3. 0. 0. 0. 4. 0. 0. 3. 0.]
 [1. 0. 1. 0. 0. 5. 3. 0. 0. 0. 0.]
 [2. 1. 1. 0. 0. 1. 3. 1. 1. 0. 0.]
 [1. 1. 1. 0. 0. 1. 1. 3. 1. 1. 0.]
 [1. 0. 3. 0. 0. 1. 0. 0. 5. 0. 0.]
 [0. 0. 0. 0. 0. 1. 4. 2. 1. 2. 0.]
 [0. 0. 3. 0. 0. 1. 2. 0. 2. 2. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,50,0.25,0.54,0.1,0.7610770429289859,0.43414323144693645,-189.01785002590168,"[[1. 6. 0. 1. 2. 0. 0. 0. 0. 0. 0.]
 [2. 2. 3. 1. 1. 0. 0. 0. 0. 1. 0.]
 [0. 4. 0. 1. 1. 0. 0. 0. 0. 2. 2.]
 [0. 0. 0. 3. 3. 1. 0. 2. 0. 0. 1.]
 [2. 0. 0. 1. 0. 4. 0. 0. 0. 1. 2.]
 [1. 2. 0. 5. 0. 0. 0. 0. 0. 2. 0.]
 [1. 0. 0. 0. 2. 1. 0. 4. 0. 1. 1.]
 [1. 5. 0. 2. 1. 0. 0. 0. 0. 0. 1.]
 [1. 1. 0. 3. 1. 2. 0. 0. 0. 1. 1.]
 [1. 0. 1. 1. 0. 0. 0. 3. 0. 1. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,50,0.3,0.45,0.06,0.7900458713006903,0.4562124791713212,-189.9135981647088,"[[1. 1. 0. 1. 1. 1. 2. 0. 2. 1. 0.]
 [1. 0. 2. 1. 0. 1. 3. 0. 2. 0. 0.]
 [0. 1. 1. 1. 1. 1. 0. 0. 3. 1. 1.]
 [2. 0. 0. 0. 6. 0. 0. 0. 2. 0. 0.]
 [0. 0. 2. 0. 0. 3. 2. 0. 3. 0. 0.]
 [1. 0. 0. 0. 1. 0. 7. 1. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 2. 3. 2. 0. 0.]
 [0. 0. 1. 1. 0. 2. 1. 0. 4. 0. 1.]
 [0. 0. 1. 0. 0. 3. 2. 1. 2. 1. 0.]
 [0. 0. 1. 0. 1. 0. 1. 0. 5. 0. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,50,0.21,0.49,0.06,0.7720847125723648,0.4423273204378529,-189.67179991626938,"[[0. 3. 0. 5. 1. 0. 0. 1. 0. 0. 0.]
 [1. 2. 0. 2. 1. 0. 2. 0. 0. 2. 0.]
 [0. 1. 0. 2. 0. 3. 2. 0. 2. 0. 0.]
 [1. 1. 0. 1. 1. 1. 1. 0. 0. 3. 1.]
 [1. 2. 0. 0. 0. 7. 0. 0. 0. 0. 0.]
 [2. 1. 0. 2. 0. 2. 0. 1. 2. 0. 0.]
 [0. 0. 0. 3. 0. 1. 0. 6. 0. 0. 0.]
 [1. 2. 0. 1. 1. 2. 0. 1. 1. 0. 1.]
 [0. 2. 0. 2. 0. 3. 0. 2. 0. 0. 1.]
 [0. 4. 0. 2. 1. 0. 1. 1. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,50,0.2,0.42,0.08,0.8229622474579594,0.45923581781222056,-193.60942267341537,"[[0. 8. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
 [0. 4. 1. 1. 0. 3. 1. 0. 0. 0. 0.]
 [2. 2. 1. 1. 0. 0. 3. 0. 0. 0. 1.]
 [0. 3. 2. 0. 0. 1. 4. 0. 0. 0. 0.]
 [2. 2. 0. 1. 0. 4. 1. 0. 0. 0. 0.]
 [0. 2. 2. 0. 0. 1. 4. 0. 0. 0. 1.]
 [1. 2. 0. 1. 0. 3. 3. 0. 0. 0. 0.]
 [1. 3. 2. 1. 0. 1. 0. 0. 0. 0. 2.]
 [1. 2. 1. 0. 0. 1. 4. 0. 0. 0. 1.]
 [1. 1. 2. 2. 0. 0. 2. 0. 0. 0. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,75,0.14,0.35,0.11,0.7979691816587572,0.4552088290008144,-194.7662792478964,"[[1. 1. 2. 0. 2. 0. 3. 0. 0. 1. 0.]
 [2. 0. 1. 1. 2. 0. 4. 0. 0. 0. 0.]
 [0. 0. 1. 3. 1. 0. 4. 0. 1. 0. 0.]
 [0. 1. 0. 0. 0. 0. 7. 0. 0. 2. 0.]
 [1. 2. 0. 1. 2. 0. 4. 0. 0. 0. 0.]
 [2. 0. 0. 1. 1. 0. 6. 0. 0. 0. 0.]
 [3. 1. 1. 0. 0. 0. 4. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 8. 0. 1. 1. 0.]
 [2. 1. 0. 2. 0. 0. 3. 0. 0. 2. 0.]
 [0. 0. 0. 1. 4. 0. 5. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,75,0.12,0.34,0.16,0.8074740939788883,0.4506918299934337,-193.76714950697308,"[[1. 4. 0. 1. 2. 1. 0. 0. 0. 1. 0.]
 [2. 4. 0. 0. 0. 1. 1. 2. 0. 0. 0.]
 [0. 4. 0. 2. 2. 1. 0. 1. 0. 0. 0.]
 [0. 2. 0. 1. 2. 2. 2. 1. 0. 0. 0.]
 [3. 3. 0. 1. 0. 2. 0. 0. 0. 1. 0.]
 [1. 0. 0. 1. 4. 3. 1. 0. 0. 0. 0.]
 [1. 2. 0. 1. 3. 1. 1. 0. 0. 1. 0.]
 [3. 4. 0. 0. 0. 1. 0. 2. 0. 0. 0.]
 [3. 0. 0. 1. 0. 2. 2. 1. 0. 1. 0.]
 [2. 1. 0. 1. 1. 1. 0. 3. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,75,0.28,0.62,0.09,0.7699535191527617,0.4399977757091102,-188.08275589873185,"[[1. 2. 0. 0. 2. 1. 0. 0. 0. 2. 2.]
 [1. 1. 3. 0. 1. 1. 0. 0. 1. 0. 2.]
 [1. 1. 1. 0. 2. 0. 0. 1. 0. 1. 3.]
 [2. 0. 0. 0. 2. 0. 0. 1. 0. 1. 4.]
 [1. 0. 1. 0. 1. 5. 0. 0. 0. 1. 1.]
 [1. 0. 0. 0. 2. 2. 0. 0. 0. 0. 5.]
 [1. 0. 0. 0. 1. 1. 0. 3. 1. 1. 2.]
 [0. 1. 0. 0. 1. 0. 0. 1. 1. 4. 2.]
 [0. 1. 0. 0. 1. 0. 0. 0. 1. 6. 1.]
 [1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 6.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,75,0.2,0.5,0.15,0.7980521196328295,0.4492122913962583,-192.83229716970575,"[[2. 2. 1. 1. 0. 2. 0. 0. 1. 0. 1.]
 [3. 1. 3. 0. 0. 0. 0. 0. 2. 0. 1.]
 [0. 0. 0. 3. 0. 0. 0. 0. 6. 1. 0.]
 [4. 0. 0. 0. 0. 1. 0. 0. 3. 0. 2.]
 [1. 1. 0. 0. 0. 0. 1. 2. 4. 1. 0.]
 [3. 0. 1. 0. 0. 0. 0. 1. 3. 1. 1.]
 [0. 1. 1. 2. 0. 2. 1. 1. 2. 0. 0.]
 [1. 0. 0. 0. 0. 0. 0. 1. 8. 0. 0.]
 [0. 0. 2. 1. 0. 2. 0. 0. 1. 1. 3.]
 [1. 0. 0. 3. 0. 0. 0. 1. 2. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
inhibition_rest_classic,5464,75,0.1,0.4,0.15,0.769957977511083,0.44045621990418876,-194.74732980051851,"[[2. 1. 1. 1. 0. 0. 2. 0. 0. 0. 3.]
 [1. 3. 1. 1. 0. 3. 1. 0. 0. 0. 0.]
 [2. 2. 0. 1. 0. 2. 0. 0. 0. 0. 3.]
 [1. 1. 3. 2. 0. 0. 0. 0. 2. 0. 1.]
 [2. 1. 0. 1. 0. 2. 1. 0. 1. 0. 2.]
 [1. 0. 0. 1. 0. 3. 0. 0. 0. 0. 5.]
 [1. 1. 0. 1. 0. 5. 1. 0. 0. 0. 1.]
 [3. 0. 1. 1. 0. 2. 0. 0. 3. 0. 0.]
 [1. 0. 1. 1. 0. 6. 0. 0. 0. 0. 1.]
 [1. 4. 0. 0. 0. 0. 1. 0. 2. 0. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
